원본행,기간,회사,직무,zeroshot_input,직무_대분류,직무_중분류,직무_소분류,분류확신도,검토메모,링크
95,2024 하반기,동국제약,제제연구,"회사: 동국제약 | 직무: 제제연구 | 유형: 대기업, 신입",연구개발,연구원,신기술 연구,중,,https://linkareer.com/cover-letter/34433?page=5&sort=RECENT_SCRAP_COUNT&tab=all
96,2023 상반기,IBK기업은행,본부 하계인턴,"회사: IBK기업은행 | 직무: 본부 하계인턴 | 유형: 인턴, 공기업",금융,금융일반,"은행, 증권, 보험, 카드, 여신",중,,https://linkareer.com/cover-letter/33079?page=5&sort=RECENT_SCRAP_COUNT&tab=all
97,2025 하반기,CJ 제일제당,Global Sales,"회사: CJ 제일제당 | 직무: Global Sales | 유형: 대기업, 신입",기타,일반·미분류,"일반직, 인턴, 직무 미상",하,키워드 미매칭,https://linkareer.com/cover-letter/36027?page=5&sort=RECENT_SCRAP_COUNT&tab=all
98,2024 하반기,하나은행,디자인 크리에이터,"회사: 하나은행 | 직무: 디자인 크리에이터 | 유형: 공기업, 인턴",금융,금융일반,"은행, 증권, 보험, 카드, 여신",중,,https://linkareer.com/cover-letter/34086?page=5&sort=RECENT_SCRAP_COUNT&tab=all
99,2024 하반기,전북테크노파크,일반직-1 세무 및 재무회계,"회사: 전북테크노파크 | 직무: 일반직-1 세무 및 재무회계 | 유형: 신입, 공기업",경영·사무,재무·회계,"회계, 세무, 재무관리",상,,https://linkareer.com/cover-letter/34526?page=5&sort=RECENT_SCRAP_COUNT&tab=all
100,2025 하반기,현대자동차,플랜트 운영(울산공장),"회사: 현대자동차 | 직무: 플랜트 운영(울산공장) | 유형: 대기업, 신입",건설·환경,건축·토목,"건축, 토목, 플랜트, BIM",중,,https://linkareer.com/cover-letter/36391?page=5&sort=RECENT_SCRAP_COUNT&tab=all
101,2025 하반기,현대자동차,품질관리(울산공장),"회사: 현대자동차 | 직무: 품질관리(울산공장) | 유형: 신입, 대기업",생산·품질,품질관리,"QA, QC",상,,https://linkareer.com/cover-letter/36223?page=5&sort=RECENT_SCRAP_COUNT&tab=all
102,2021 하반기,어플라이드 머티리얼즈,Customer Engineer,"회사: 어플라이드 머티리얼즈 | 직무: Customer Engineer | 유형: 기타, 신입",엔지니어링,장비 엔지니어,"Customer Engineer, Field Engineer",중,,https://linkareer.com/cover-letter/29839?page=6&sort=RECENT_SCRAP_COUNT&tab=all
103,2023 하반기,BC카드,사업기획/마케팅,"회사: BC카드 | 직무: 사업기획/마케팅 | 유형: 대기업, 신입",경영·사무,기획,"사업기획, 전략기획",상,,https://linkareer.com/cover-letter/34118?page=6&sort=RECENT_SCRAP_COUNT&tab=all
104,2025 상반기,코스맥스,R&I(화장품연구),"회사: 코스맥스 | 직무: R&I(화장품연구) | 유형: 중견기업, 신입",연구개발,연구원,신기술 연구,중,,https://linkareer.com/cover-letter/36437?page=6&sort=RECENT_SCRAP_COUNT&tab=all
105,2026 상반기,오션네트워크익스프레스코리아,Commercial Division_CCA,"회사: 오션네트워크익스프레스코리아 | 직무: Commercial Division_CCA | 유형: 중소기업/스타트업, 신입",IT·개발,클라우드·인프라,"AWS, Azure, DevOps, Kubernetes",중,,https://linkareer.com/cover-letter/36491?page=6&sort=RECENT_SCRAP_COUNT&tab=all
106,2025 상반기,국제연합식량농업기구(FAO) 한국협회,국제협력,"회사: 국제연합식량농업기구(FAO) 한국협회 | 직무: 국제협력 | 유형: 기타, 신입",연구개발,기계·항공,"기계, 항공우주, 기구",중,,https://linkareer.com/cover-letter/34450?page=6&sort=RECENT_SCRAP_COUNT&tab=all
107,2025 상반기,RXC,마케팅,"회사: RXC | 직무: 마케팅 | 유형: 인턴, 중소기업/스타트업",마케팅·광고,브랜드 마케팅,"브랜드 전략, 캠페인",중,,https://linkareer.com/cover-letter/34591?page=6&sort=RECENT_SCRAP_COUNT&tab=all
108,2026 상반기,현대위아,샤시개발_샤시부품 평가,"회사: 현대위아 | 직무: 샤시개발_샤시부품 평가 | 유형: 대기업, 신입",IT·개발,백엔드 개발,"Java, Spring, Node.js, Python, API 개발",중,,https://linkareer.com/cover-letter/36205?page=6&sort=RECENT_SCRAP_COUNT&tab=all
109,2025 하반기,기아,생산운영 및 공정기술 (AutoLand 광주),"회사: 기아 | 직무: 생산운영 및 공정기술 (AutoLand 광주) | 유형: 대기업, 신입",생산·품질,생산관리,제조 운영,상,,https://linkareer.com/cover-letter/36462?page=6&sort=RECENT_SCRAP_COUNT&tab=all
110,2025 상반기,대한항공,일반직,"회사: 대한항공 | 직무: 일반직 | 유형: 대기업, 신입",기타,일반·미분류,"일반직, 인턴, 직무 미상",상,,https://linkareer.com/cover-letter/36043?page=6&sort=RECENT_SCRAP_COUNT&tab=all
111,2024 상반기,현대자동차,생산/제조_신차개발-생산기술(전주공장),"회사: 현대자동차 | 직무: 생산/제조_신차개발-생산기술(전주공장) | 유형: 신입, 대기업",생산·품질,생산관리,제조 운영,상,,https://linkareer.com/cover-letter/33802?page=6&sort=RECENT_SCRAP_COUNT&tab=all
112,2024 하반기,한화에어로스페이스,R&D_기계/항공,"회사: 한화에어로스페이스 | 직무: R&D_기계/항공 | 유형: 대기업, 신입",연구개발,기계·항공,"기계, 항공우주, 기구",상,,https://linkareer.com/cover-letter/34258?page=6&sort=RECENT_SCRAP_COUNT&tab=all
113,2025 상반기,한국은행,청년인턴,"회사: 한국은행 | 직무: 청년인턴 | 유형: 인턴, 기타",금융,금융일반,"은행, 증권, 보험, 카드, 여신",중,,https://linkareer.com/cover-letter/36178?page=6&sort=RECENT_SCRAP_COUNT&tab=all
114,2024 하반기,삼성전자,DS부문_메모리사업부_반도체공정기술,"회사: 삼성전자 | 직무: DS부문_메모리사업부_반도체공정기술 | 유형: 대기업, 신입",연구개발,전기·전자·반도체,"전기, 전자, 반도체, 회로, 소자",상,,https://linkareer.com/cover-letter/34193?page=6&sort=RECENT_SCRAP_COUNT&tab=all
115,2022 상반기,IBK기업은행,청년인턴 사무직,"회사: IBK기업은행 | 직무: 청년인턴 사무직 | 유형: 은행권, 인턴",경영·사무,총무,"자산관리, 문서관리",중,,https://linkareer.com/cover-letter/30168?page=6&sort=RECENT_SCRAP_COUNT&tab=all
116,2024 상반기,IBK기업은행,청년인턴,"회사: IBK기업은행 | 직무: 청년인턴 | 유형: 은행권, 인턴",금융,금융일반,"은행, 증권, 보험, 카드, 여신",중,,https://linkareer.com/cover-letter/32636?page=6&sort=RECENT_SCRAP_COUNT&tab=all
117,2025 하반기,SK가스,Business Solution Center,"회사: SK가스 | 직무: Business Solution Center | 유형: 대기업, 인턴",엔지니어링,장비 엔지니어,"Customer Engineer, Field Engineer",중,,https://linkareer.com/cover-letter/36072?page=6&sort=RECENT_SCRAP_COUNT&tab=all
118,2024 상반기,워커힐호텔앤리조트,재무(회계),"회사: 워커힐호텔앤리조트 | 직무: 재무(회계) | 유형: 인턴, 대기업",경영·사무,재무·회계,"회계, 세무, 재무관리",상,,https://linkareer.com/cover-letter/33415?page=6&sort=RECENT_SCRAP_COUNT&tab=all
119,2023 하반기,CJ올리브영,MD,"회사: CJ올리브영 | 직무: MD | 유형: 대기업, 신입",영업·고객관리,B2C 영업,일반 소비자 영업,중,,https://linkareer.com/cover-letter/32783?page=6&sort=RECENT_SCRAP_COUNT&tab=all
120,2024 상반기,네이버 클라우드,공공사업,"회사: 네이버 클라우드 | 직무: 공공사업 | 유형: 대기업, 인턴",IT·개발,클라우드·인프라,"AWS, Azure, DevOps, Kubernetes",중,,https://linkareer.com/cover-letter/33595?page=6&sort=RECENT_SCRAP_COUNT&tab=all
121,2025 상반기,현대건설,플랜트사업_화공,"회사: 현대건설 | 직무: 플랜트사업_화공 | 유형: 대기업, 신입",건설·환경,건축·토목,"건축, 토목, 플랜트, BIM",중,,https://linkareer.com/cover-letter/34749?page=6&sort=RECENT_SCRAP_COUNT&tab=all
122,2021 하반기,네이버 웹툰,웹툰 pd,"회사: 네이버 웹툰 | 직무: 웹툰 pd | 유형: 대기업, 인턴",IT·개발,프론트엔드 개발,"React, Vue, Angular, 웹 퍼블리싱",중,,https://linkareer.com/cover-letter/30871?page=7&sort=RECENT_SCRAP_COUNT&tab=all
123,2025 하반기,네이버Z,계약 정산 및 광고 운영,"회사: 네이버Z | 직무: 계약 정산 및 광고 운영 | 유형: 인턴, 대기업",기타,일반·미분류,"일반직, 인턴, 직무 미상",하,키워드 미매칭,https://linkareer.com/cover-letter/35155?page=7&sort=RECENT_SCRAP_COUNT&tab=all
124,2024 하반기,삼정KPMG,ESG Center of Excellence (CoE),"회사: 삼정KPMG | 직무: ESG Center of Excellence (CoE) | 유형: 중견기업, 인턴",엔지니어링,장비 엔지니어,"Customer Engineer, Field Engineer",중,,https://linkareer.com/cover-letter/35174?page=7&sort=RECENT_SCRAP_COUNT&tab=all
125,2022 하반기,기아,기업전략(신사업·기획),"회사: 기아 | 직무: 기업전략(신사업·기획) | 유형: 대기업, 신입",경영·사무,기획,"사업기획, 전략기획",상,,https://linkareer.com/cover-letter/31288?page=7&sort=RECENT_SCRAP_COUNT&tab=all
126,2024 하반기,한미약품,품질관리,"회사: 한미약품 | 직무: 품질관리 | 유형: 중견기업, 신입",생산·품질,품질관리,"QA, QC",상,,https://linkareer.com/cover-letter/34132?page=7&sort=RECENT_SCRAP_COUNT&tab=all
127,2023 상반기,농협물류,물류관리,"회사: 농협물류 | 직무: 물류관리 | 유형: 신입, 대기업",물류·구매,SCM·물류,"공급망, 물류운영",중,,https://linkareer.com/cover-letter/31769?page=7&sort=RECENT_SCRAP_COUNT&tab=all
128,2024 하반기,LG생활건강,디지털컨텐츠 소셜크루,"회사: LG생활건강 | 직무: 디지털컨텐츠 소셜크루 | 유형: 인턴, 대기업",마케팅·광고,디지털 마케팅,"SNS, 퍼포먼스 마케팅",중,,https://linkareer.com/cover-letter/33787?page=7&sort=RECENT_SCRAP_COUNT&tab=all
129,2025 상반기,KB 국민은행,AI / 데이터 부문,"회사: KB 국민은행 | 직무: AI / 데이터 부문 | 유형: 인턴, 은행권",IT·개발,AI·머신러닝,"머신러닝, 딥러닝, 생성형 AI",중,,https://linkareer.com/cover-letter/35088?page=7&sort=RECENT_SCRAP_COUNT&tab=all
130,2025 하반기,JTBC,예능PD,"회사: JTBC | 직무: 예능PD | 유형: 신입, 중견기업",미디어·콘텐츠,콘텐츠 제작,"PD, 영상, 방송, 작가",중,,https://linkareer.com/cover-letter/35828?page=7&sort=RECENT_SCRAP_COUNT&tab=all
131,2023 하반기,셀트리온,재무,"회사: 셀트리온 | 직무: 재무 | 유형: 대기업, 신입",경영·사무,재무·회계,"회계, 세무, 재무관리",중,,https://linkareer.com/cover-letter/32546?page=7&sort=RECENT_SCRAP_COUNT&tab=all
132,2025 하반기,아모레퍼시픽,경영전략팀,"회사: 아모레퍼시픽 | 직무: 경영전략팀 | 유형: 대기업, 인턴",경영·사무,기획,"사업기획, 전략기획",중,,https://linkareer.com/cover-letter/36084?page=7&sort=RECENT_SCRAP_COUNT&tab=all
133,2025 하반기,교보생명,법인영업,"회사: 교보생명 | 직무: 법인영업 | 유형: 대기업, 인턴",영업·고객관리,B2B 영업,기업영업,상,,https://linkareer.com/cover-letter/35829?page=7&sort=RECENT_SCRAP_COUNT&tab=all
134,2025 상반기,삼성전자,DX 제품/서비스 마케팅,"회사: 삼성전자 | 직무: DX 제품/서비스 마케팅 | 유형: 대기업, 인턴",마케팅·광고,브랜드 마케팅,"브랜드 전략, 캠페인",중,,https://linkareer.com/cover-letter/36271?page=7&sort=RECENT_SCRAP_COUNT&tab=all
135,2025 상반기,삼성전자,생산기술연구소_기구개발,"회사: 삼성전자 | 직무: 생산기술연구소_기구개발 | 유형: 대기업, 신입",생산·품질,생산관리,제조 운영,상,,https://linkareer.com/cover-letter/34808?page=7&sort=RECENT_SCRAP_COUNT&tab=all
136,2024 하반기,삼성생명,자산운용,"회사: 삼성생명 | 직무: 자산운용 | 유형: 신입, 대기업",경영·사무,총무,"자산관리, 문서관리",중,,https://linkareer.com/cover-letter/34149?page=7&sort=RECENT_SCRAP_COUNT&tab=all
137,2023 상반기,넥슨네트웍스,게임서비스 채용연계형 인턴,"회사: 넥슨네트웍스 | 직무: 게임서비스 채용연계형 인턴 | 유형: 대기업, 인턴",IT·개발,게임 개발,"클라이언트, 서버, 엔진 개발",중,,https://linkareer.com/cover-letter/32128?page=7&sort=RECENT_SCRAP_COUNT&tab=all
138,2025 상반기,LX하우시스,구매,"회사: LX하우시스 | 직무: 구매 | 유형: 대기업, 인턴",물류·구매,구매,"구매, 조달",중,,https://linkareer.com/cover-letter/34781?page=7&sort=RECENT_SCRAP_COUNT&tab=all
139,2023 상반기,여수시도시관리공단,일반행정 6급,"회사: 여수시도시관리공단 | 직무: 일반행정 6급 | 유형: 공기업, 신입",공공·행정,공공행정,"공공기관, 정책, 일반행정",상,,https://linkareer.com/cover-letter/31794?page=7&sort=RECENT_SCRAP_COUNT&tab=all
140,2021 상반기,현대자동차,재경본부 원가분석 및 수익성 관리,"회사: 현대자동차 | 직무: 재경본부 원가분석 및 수익성 관리 | 유형: 대기업, 신입",경영·사무,재무·회계,"회계, 세무, 재무관리",상,,https://linkareer.com/cover-letter/30666?page=7&sort=RECENT_SCRAP_COUNT&tab=all
141,2026 상반기,앰코테크놀로지코리아,품질 엔지니어,"회사: 앰코테크놀로지코리아 | 직무: 품질 엔지니어 | 유형: 중견기업, 신입",생산·품질,품질관리,"QA, QC",중,,https://linkareer.com/cover-letter/36318?page=7&sort=RECENT_SCRAP_COUNT&tab=all
142,2022 하반기,현대자동차,해외 판매 기획,"회사: 현대자동차 | 직무: 해외 판매 기획 | 유형: 대기업, 신입",경영·사무,기획,"사업기획, 전략기획",중,,https://linkareer.com/cover-letter/32442?page=8&sort=RECENT_SCRAP_COUNT&tab=all
143,2024 하반기,비나우,글로벌 B2B 해외 영업,"회사: 비나우 | 직무: 글로벌 B2B 해외 영업 | 유형: 신입, 중소기업/스타트업",영업·고객관리,B2B 영업,기업영업,상,,https://linkareer.com/cover-letter/34582?page=8&sort=RECENT_SCRAP_COUNT&tab=all
144,2025 하반기,딜로이트 안진회계법인,경영자문부문 CF그룹,"회사: 딜로이트 안진회계법인 | 직무: 경영자문부문 CF그룹 | 유형: 중견기업, 인턴",경영·사무,재무·회계,"회계, 세무, 재무관리",중,,https://linkareer.com/cover-letter/36308?page=8&sort=RECENT_SCRAP_COUNT&tab=all
145,2024 하반기,포스코,생산기술(포항/광양),"회사: 포스코 | 직무: 생산기술(포항/광양) | 유형: 신입, 대기업",생산·품질,생산관리,제조 운영,상,,https://linkareer.com/cover-letter/34040?page=8&sort=RECENT_SCRAP_COUNT&tab=all
146,2020 상반기,셀트리온,품질관리 -> 문서관리 컴플라이언스로 변경(합격 인증에 해당 내용 첨부했습니다),"회사: 셀트리온 | 직무: 품질관리 -> 문서관리 컴플라이언스로 변경(합격 인증에 해당 내용 첨부했습니다) | 유형: 신입, 대기업",생산·품질,품질관리,"QA, QC",상,,https://linkareer.com/cover-letter/26604?page=8&sort=RECENT_SCRAP_COUNT&tab=all
147,2021 하반기,도쿄 일렉트론 코리아 (TEL),Process Engineer,"회사: 도쿄 일렉트론 코리아 (TEL) | 직무: Process Engineer | 유형: 중견기업, 신입",마케팅·광고,브랜드 마케팅,"브랜드 전략, 캠페인",중,,https://linkareer.com/cover-letter/29826?page=8&sort=RECENT_SCRAP_COUNT&tab=all
148,2025 상반기,우리은행,개인금융,"회사: 우리은행 | 직무: 개인금융 | 유형: 은행권, 신입",금융,금융일반,"은행, 증권, 보험, 카드, 여신",상,,https://linkareer.com/cover-letter/34793?page=8&sort=RECENT_SCRAP_COUNT&tab=all
149,2024 하반기,카카오,AI 서비스 기획,"회사: 카카오 | 직무: AI 서비스 기획 | 유형: 인턴, 대기업",IT·개발,AI·머신러닝,"머신러닝, 딥러닝, 생성형 AI",중,,https://linkareer.com/cover-letter/35351?page=8&sort=RECENT_SCRAP_COUNT&tab=all
150,2023 상반기,삼일회계법인,비영리전문화팀(대학 컨설팅) 인턴,"회사: 삼일회계법인 | 직무: 비영리전문화팀(대학 컨설팅) 인턴 | 유형: 인턴, 중견기업",경영·사무,재무·회계,"회계, 세무, 재무관리",중,,https://linkareer.com/cover-letter/31683?page=8&sort=RECENT_SCRAP_COUNT&tab=all
151,2024 하반기,BC카드,마케팅,"회사: BC카드 | 직무: 마케팅 | 유형: 대기업, 신입",마케팅·광고,브랜드 마케팅,"브랜드 전략, 캠페인",중,,https://linkareer.com/cover-letter/34107?page=8&sort=RECENT_SCRAP_COUNT&tab=all
152,2024 하반기,BGF리테일,브랜드마케팅,"회사: BGF리테일 | 직무: 브랜드마케팅 | 유형: 중견기업, 인턴",마케팅·광고,브랜드 마케팅,"브랜드 전략, 캠페인",상,,https://linkareer.com/cover-letter/34675?page=8&sort=RECENT_SCRAP_COUNT&tab=all
153,2025 상반기,연합뉴스TV,영상편집기자,"회사: 연합뉴스TV | 직무: 영상편집기자 | 유형: 중견기업, 신입",디자인,영상 디자인,"영상 편집, 모션그래픽",상,,https://linkareer.com/cover-letter/36353?page=8&sort=RECENT_SCRAP_COUNT&tab=all
154,2023 하반기,울산시설공단,행정업무 지원(본부권역),"회사: 울산시설공단 | 직무: 행정업무 지원(본부권역) | 유형: 인턴, 공기업",공공·행정,공공행정,"공공기관, 정책, 일반행정",상,,https://linkareer.com/cover-letter/32950?page=8&sort=RECENT_SCRAP_COUNT&tab=all
